id_str,user_id,user_sreen_name,retweet_count,in_reply_to_status_id,text
1072334127507095557,741724579366768640,gisiyfriends882,0,null,  Everyone you know is fighting a battle you know nothing about
1072334127502888962,3146214316,BaileyVFFink,0,null,  I’m doing the best I can
1072334127498706944,1049662809481437184,friskaandriann,0,null,Presiden Jokowi Diharap Lebih Giat Suarakan Pemberantasan Korupsi1959vXA5jo#01JokowiMenang… 7Tgji6X
1072334127502946305,898175539776675840,Ujjiiiii_,0,null, _F_diablesse 네이버 체크하다 보니 검색어 순위에 오른 걸 확인했는데 해시태그 운동 등도 같이 하고 계셨군요💪 넓게 그리고 길고 질기게 싸워야 할 겁니다 함께 해요 7…
1072334127528071168,3310433181,Elijahstuart24,0,null,  Nigga fuck the caption is that kid alright 4EtZK
1072334127528075264,747060210406039552,sayachicooo,0,1072333998200971266, しらいベビwwwwww昨日髪切って白井み減ったんだけど……いい？←
1072334127528071169,1930264260,NoroNgc1976,0,1072330109787373573,早乙女くんがなぜマンティコアを庇ったか考えるだけの仕事がしたいので笑わないと彼女たちが〜読みに帰っていいすか？ダメです🙅‍♀️
1072334127528112128,990750030985281537,LLBGmcVmJmSTGoG,0,null, 5_1goh フォロワー100人いったからオ○ニー動画プレゼント♪フォローamp＆いいね全部してくれた人の中から抽選で5人にあげるよ！個人で見て楽しんでね！転載禁止だよ！とフォローといいね確認できたら抽選でDMしまーす！ …
1072334127519682560,164973592,Tryanoto,0,null,try 15CC7BAA Battle IDI need backupLvl 120 Godsworn Alexiel3iRhEFNi8N
1072334127502946304,489923528,obey_raii,0,null,been at my grandmas all day just laying around talking i love these kinda days💓
1072334127523921920,3298454471,sirjosh91990,0,1072333454489067520,16 I guess Percy tutored her to pull the mail train
1072334127519752192,844412317630676994,jeuwnnie,0,null,  am a follow Just rt -top
1072334127519666176,856287687166140416,markraemanalo15,0,null,  i’m so into you damn
1072334127523876866,3994137919,bkdjatim,0,null,Min SDku sudah ganti namaSD sudah ganti nama atau ganti nomor its ok Minta suket dari Pak Kepsek Jangan lupa… 0IEWrK36
1072334127536488448,176532572,D01TE,0,null,  These edible stickers help your food last longer 5383I1x
1072334127511334917,4835150493,mohsenelkamel,0,null,  شئ قاسي ان اثنين متجوزين ترغمهم ظروف الحياة ان الراجل يعيش بره علشان يجيب فلوس والست تفضل في مصر تربي العيال وتستنى التحويل…
1072334127507169283,871566116182564864,nyamomo1022,0,null,お口にソースついてるのほんと可愛かった真横で見たい
1072334127511339009,1070161387161182209,lomeinqueen,0,null,   if you are young and beautiful of some money for Xmas gifts Willing to make you happy    if interested 😋💸💸💰💰…
1072334127511289857,1003402645522935808,Hydrole1,0,null,FortniteIsJustWeebCallOfDuty opinions on this
1072334127507103744,21946225,jonbernhardt,0,null,Just played the how many spots on your theoretical Hall of Fame ballot would it take for you to give Curt Schillin… 593hOt5
1072334127498780672,249812988,paydemanggo,0,null,Que dice mi mamá que siempre ya no
1072334127498706947,830763948945203202,XIA_12150401,0,null, _xia 2018 샤슾 굿즈 가격 안내샤렌더amp디비디 12000원 (온라인구매)뱃지 3000원글래스잔 10000원에코백(코듀로이2가지) 15000원 6vjUZ
1072334127507169284,136442708,EderNick,0,null, 92  estar con 50 grados de temperatura y tragar chocolate caliente
1072334119143649280,4914473031,LuchoLd14,0,null, Justo casanelo y Bonadio atienden las causas Macri mira las causas del nene 7YFIegg2h
1072334127498752000,2662965391,IndiaStelzer,0,null,New hair who dis 90VJNC
1072334127536443393,1320277800,ReboundXD,0,1072320759152861184,    0u Good luck heres a picture of me to give you good luc… 
1072334131705585665,979040949073514496,Good221666441,0,null,اللهم أعني على ذكرك وشكرك وحسن عبادتك 0p
1072334131693006849,723083976,armandoemilio4,0,null,     Gallardo un señor con todas las letrasmuchos deberían de imitarlo
1072334131693060097,627043111,riiiiina_59,0,null, _ga 8時だJ初回放送 Can do Can go復活ということで…以前もあげてますが全ての伝説の始まりをもう一度🥺🥺#8時だJ     …
1072334131709775873,599582870,vicks058,0,null,Fuck these other niggas I’ll be right by your side till 3005
1072334131693084672,300060085,faiiLppm,0,null,  ขอแสดงความยินดีอีกครั้งนะคะ เราเป็นเค้าเราก็คงตื่นเต้นมากๆที่ต้องเดินไปรับคนแรก ทอยยังเก่งคุมสติพูดต่อจนจบได้เรียบเรียงคำพูด…
1072334131693010944,3222623336,jarickaaaa,0,1072189646984134657,1ed_ I’m fuckin weak😂😂
1072334131726561281,173379461,Alice2284,0,null, _yura あ〜仕事忙しい時期だし、そもそもチケットないんだけども、ザギちゃんの応援にワールド行きたくなってきた。この格好で。  6TkB4Y
1072334131709784068,581645629,Surume223,0,1072330463367315456, お？いいなー
1072334131722403840,3439155929,Fefacha,0,null,Mi hija trasnocha y madruga Se me aproxima un examen adivinen si estudié algo 😭😭
1072334131697238018,1068413883788931072,jmnzcyrl,0,1072333997181755393,Incomplete hehe
1072334131713978369,1030231128295190528,wt3ZklN61PsFNiA,0,null, _JAPAN イオンギフトカード1000円分が2000名さまに当たる大チャンス🎅🏻🎉 応募方法🎉1⃣_JAPAN をフォロー2⃣本ツイートをリツイート3⃣その場で結果が分かる！ごちそう、ギフト、飾りつけなどクリス…
1072334131722379264,404428670,raineealencar,0,1072334076613414912,E poder só olhar o universo em torno de voce
1072334131718180864,1048853878345674752,Arxyboyy,0,null,VBA CODE PAAAAAA ANUBAYANNNNN
1072334131701432320,148428956,turnupmatilda,0,null,  No one said Justin Timberlake is the King of RampB and for that yall have my thanks
1072334131705581568,1030203694015492096,lo_costress,0,null,  fire (2018) — sik-k 8xs
1072334131713990657,986259294394826752,Na02Je,0,null,여러분 늦었지만 독감 주사 맞으세요 진짜 죽을 수도
1072334131726639105,2530054248,shauna_elon,0,null, @_natebreezy i hate that my family super religious sometimes i told my grandma i was stressed cause of exams she gon say “no you’re n…
1072334131722420224,983111274488848384,yKimberlyxcx,0,null,devolve as horas q eu gastei pfvr
1072334131692998656,143123676,phechem,0,1072327558803451904,  al minuto que pida trade vamos a estar ahí
1072334131726553091,1269926190,ajaquepaso,0,null,  El amor es tan sencillo como esto no hagas al otro lo que no quieres que te hagan a ti
1072334131697238016,2356735040,Stybba916,0,null,  Bumping this up CN is looking for writers video editors illustrators amp graphic designers to work remotely 6-10 hourswe…
1072334131701444608,393176088,MariselaChavez5,0,null,  Dejen adivino ¡con buenos sueldos “Exhiben a magistrado que contrató a 14 parientes” 1Y4ZRNXZT
1072334131726610432,966132877317435394,nozupass0955,0,1072331292946116608,0808 マイティと同じボケしてる…
1072334131709820928,18849779,Zenman1550,0,null,2TXVC2od2
1072334131726553088,833754463,JulieMinter2,0,null,  Saves 100 puppies from burning building forgets to delete 10-year old tweets 7RWLMpAfhE
1072334131726569474,1068735287793201152,kT0is9n5eUQf1Jx,0,1072334016362242048,_agha الخير
1072334131726553089,888253148149592064,marabanes,0,null,noite random porem gostosa da porra
1072334131697209346,1067778453481631750,PretzelsButter,0,1072223008918528001, Thank you People are so fucking ignorant Thank you
